Drug,Gene_Count,Genes,Gene_Sources,Drug_Sources
DEXAMETHASONE,80,"ABL1, ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, ANXA1, AR, AURKA, AVPR2, BDKRB2, C5AR1, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CDK2, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, ERBB2, ESR1, ESR2, FGFR3, FPR2, FYN, GHSR, GSK3B, HAP1, HDAC6, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, ITGAL, ITGB2, JUN, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, NFE2L2, NOS1, NR3C1, OPRK1, PGR, PPARD, PPARG, PPARGC1A, PRKACA, PRKCA, PTAFR, RELA, S1PR1, SIGMAR1, TACR1, TACR2, TRIM24, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
DISULFIRAM,80,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, ALDH2, APP, AR, BDKRB2, CA2, CALCR, CASP1, CBFB, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABRG2, GMNN, HAP1, HDAC6, HRH2, HSP90AA1, HTR1A, HTR1B, HTR2B, HTR2C, HTR6, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MDM2, MMP1, MMP9, MPHOSPH8, NFE2L2, NFKB1, NOS1, NR3C1, OPRK1, PGR, PLK1, PRKACA, PRKCA, PTAFR, PTBP1, RUNX1, RXRA, SIGMAR1, SMAD3, SNCA, TACR1, TACR2, TP53, TSPO, VDR, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugBank, DrugCentral"
LANSOPRAZOLE,80,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, APP, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FAS, FYN, GABBR1, GCGR, GHSR, GMNN, HDAC6, HIF1A, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, MPHOSPH8, NFE2L2, NOS1, NR3C1, NTSR1, OPRK1, PGR, PLK1, PRKACA, PRKCA, PTAFR, RAB9A, SIGMAR1, SNCA, TACR1, TACR2, VDR, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG",ChEMBL
LEVODOPA,80,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CBFB, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, DRD5, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GCGR, GHSR, GMNN, GPR143, HAP1, HDAC6, HIF1A, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, KPNB1, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, MPHOSPH8, NOS1, NR3C1, NTSR1, OPRK1, PGR, PIN1, PRKACA, PRKCA, PTAFR, RUNX1, SIGMAR1, SLC22A1, TACR1, TACR2, VDR, VIPR1, WRN","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb"
RALOXIFENE,80,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CNR2, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GC, GCGR, GHSR, GMNN, HLA-A, HRH2, HTR1A, HTR1B, HTR1D, HTR2B, HTR2C, HTR3A, HTR6, HTT, IL6R, IL6ST, INSR, LCK, LIFR, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MEN1, MMP1, MMP9, MPHOSPH8, NFE2L2, NFKB1, NOS1, NR3C1, NTSR1, OPRK1, PGR, PRKACA, PRKCA, PTAFR, SIGMAR1, TACR1, TACR2, TP53, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
CIMETIDINE,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABBR1, GCGR, GHSR, GMNN, HAP1, HDAC6, HRH2, HRH4, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MEN1, MMP1, MMP9, MPHOSPH8, NFE2L2, NOS1, NR3C1, NTSR1, OPRK1, PGR, PLAUR, PRKACA, PRKCA, PTAFR, SIGMAR1, SLC22A1, SMN1, TACR1, TACR2, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
ETHINYL ESTRADIOL,79,"ABL1, ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AURKA, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CDK2, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, ERBB2, ESR1, ESR2, FGFR3, FYN, GABBR1, GCGR, GHSR, GSK3B, HDAC6, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, NOS1, NR1H2, NR3C1, NTSR1, OPRK1, PGR, PPARA, PRKACA, PRKCA, PTAFR, RARA, SHBG, SIGMAR1, TACR1, TACR2, TRIM24, VDR, VIPR1","CT, DCE_KEGG","ChEMBL, TTD"
GEMFIBROZIL,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CBFB, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, ERBB2, ESR1, ESR2, FYN, GABBR1, GCGR, GHSR, GMNN, HDAC6, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, JUN, KPNB1, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, NFE2L2, NOS1, NR3C1, NTSR1, OPRK1, PGR, PPARA, PPARD, PPARG, PRKACA, PRKCA, PTAFR, RUNX1, SIGMAR1, SMAD3, SMN1, TACR1, TACR2, TTR, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb"
GENTIAN VIOLET,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, APP, AR, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABRG2, GC, GMNN, HAP1, HIF1A, HRH2, HSPD1, HTR1A, HTR1B, HTR2B, HTR2C, HTR6, HTT, INSR, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MEN1, MMP1, MMP9, NFE2L2, NFKB1, NOS1, NR3C1, OPRK1, PGR, POU2F1, PPARD, PPARG, PRKACA, PRKCA, PTAFR, RXRA, SIGMAR1, SLC22A1, SMAD3, SMN1, SNCA, TACR1, TACR2, THRB, TP53, VDR, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugCentral"
METERGOLINE,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GMNN, GNAI1, HDAC6, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR1F, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, KPNB1, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MEN1, MMP1, MMP9, MPHOSPH8, NFE2L2, NOS1, NR3C1, OPRK1, PGR, PIN1, PRKACA, PRKCA, PTAFR, PTGER2, PTGER3, RAB9A, RGS12, SIGMAR1, SMAD3, SMN1, TACR1, TACR2, TP53, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb"
MIFEPRISTONE,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB2, CA2, CALCR, CASP1, CBFB, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABRG2, GHSR, GMNN, GNAS, HAP1, HDAC6, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, MPHOSPH8, NFE2L2, NOS1, NR3C1, OPRK1, PGR, PPARD, PPARG, PRKACA, PRKCA, PTAFR, RUNX1, RXRA, SIGMAR1, SMN1, SMPD1, TACR1, TACR2, THRA, THRB, VDR, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
MITOTANE,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB2, CA2, CALCR, CASP1, CBFB, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GHSR, GMNN, HDAC6, HIF1A, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, MPHOSPH8, NFE2L2, NFKB1, NOS1, NR3C1, OPRK1, PGR, PIN1, PPARA, PPARD, PPARG, PRKACA, PRKCA, PTAFR, PTH1R, RUNX1, RXRA, SIGMAR1, TACR1, TACR2, THRB, TP53, VDR, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, TTD"
PROCHLORPERAZINE,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GC, GCGR, GHSR, GMNN, HAP1, HDAC6, HIF1A, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, MPHOSPH8, NFE2L2, NFKB1, NOS1, NR3C1, NTSR1, OPRK1, PGR, PRKACA, PRKCA, PTAFR, SIGMAR1, SLC22A1, SMAD3, SMN1, TACR1, TACR2, TP53, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugCentral, GtoPdb"
PROGESTERONE,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABRG2, GHSR, HDAC6, HIF1A, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, KPNB1, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MEN1, MMP1, MMP9, NFE2L2, NOS1, NR3C1, OPRK1, PGR, PPARD, PPARG, PRKACA, PRKCA, PTAFR, PTH1R, RAB9A, RAN, RXRA, SHBG, SIGMAR1, SLC22A1, SMN1, TACR1, TACR2, THRB, VDR, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
THIMEROSAL,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, ERBB2, ESR1, ESR2, FYN, GABRG2, GC, GMNN, HDAC6, HRH2, HSP90AA1, HTR1A, HTR1B, HTR2B, HTR2C, HTR6, HTT, INSR, KPNB1, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, NFE2L2, NFKB1, NOS1, NR3C1, NTSR1, OPRK1, PGR, PLK1, PPARD, PPARG, PRKACA, PRKCA, PTAFR, PTH1R, RAN, RXRA, SIGMAR1, SMAD3, SMN1, SNCA, TACR1, TACR2, THRB, TP53, VDR, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG",ChEMBL
THIORIDAZINE,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, DRD5, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GCGR, GHSR, GMNN, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR1F, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, MPHOSPH8, NFE2L2, NFKB1, NFKB2, NOS1, NR3C1, NTSR1, OPRK1, PGR, PRKACA, PRKCA, PTAFR, RAB9A, RELA, SIGMAR1, SMPD1, TACR1, TACR2, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb"
TRETINOIN,79,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, APP, AR, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABRG2, GMNN, HDAC6, HIF1A, HRH2, HSPD1, HTR1A, HTR1B, HTR2B, HTR2C, HTR6, HTT, INSR, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MEN1, MMP1, MMP2, MMP9, MPHOSPH8, NFE2L2, NOS1, NR3C1, OPRK1, PGR, PIN1, PPARD, PPARG, PRKACA, PRKCA, PTAFR, RARA, RDH5, RXRA, RXRG, SIGMAR1, SMN1, SNCA, TACR1, TACR2, THRB, VDR, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb"
FLUMAZENIL,78,"ABL1, ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AURKA, AVPR2, BDKRB2, C5AR1, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CDK2, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, EHMT2, ERBB2, ESR1, ESR2, FGFR3, FPR2, FYN, GABRG2, GHSR, GMNN, GSK3B, HAP1, HDAC6, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MEN1, MMP1, MMP9, NFE2L2, NOS1, NR3C1, OPRK1, PGR, PRKACA, PRKCA, PTAFR, S1PR1, SIGMAR1, SMN1, TACR1, TACR2, TRIM24, TSPO, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank, TTD"
FLUPHENAZINE,78,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CALM1, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, DRD5, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GC, GCGR, GHSR, GMNN, HDAC6, HRH2, HTR1A, HTR1B, HTR1D, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, MPHOSPH8, NFKB1, NOS1, NR3C1, NTSR1, OPRK1, PGR, PRKACA, PRKCA, PTAFR, SIGMAR1, SLC22A1, TACR1, TACR2, TP53, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
GLIPIZIDE,78,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CBFB, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABBR1, GC, GCGR, GHSR, GMNN, HDAC6, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, NFKB1, NOS1, NR3C1, NTSR1, OPRK1, PGR, PPARG, PRKACA, PRKCA, PTAFR, RUNX1, SIGMAR1, SLC22A1, SMN1, TACR1, TACR2, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank"
ITRACONAZOLE,78,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABBR1, GCGR, GHSR, GMNN, HIF1A, HRH2, HSP90AA1, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MEN1, MMP1, MMP9, NFE2L2, NOS1, NR1H2, NR3C1, NTSR1, OPRK1, PGR, PPARA, PRKACA, PRKCA, PTAFR, RARA, SIGMAR1, SNCA, TACR1, TACR2, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugCentral"
MIANSERIN,78,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABBR1, GABRG2, GCGR, GHSR, GMNN, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR1F, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, LCK, LMNA, LPAR1, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, NOS1, NR3C1, NTSR1, OPRK1, PGR, PRKACA, PRKCA, PTAFR, RAB9A, SIGMAR1, SLC22A1, TACR1, TACR2, VDR, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb"
NOSCAPINE,78,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GCGR, GHSR, GMNN, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MEN1, MMP1, MMP9, NFE2L2, NOS1, NR3C1, NTSR1, OPRK1, PGR, PPARG, PRKACA, PRKCA, PTAFR, RAB9A, SIGMAR1, SMPD1, TACR1, TACR2, TUBA1A, TUBA1B, TUBA4A, TUBB, TUBB2A, TUBB3, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank"
PODOFILOX,78,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AKT1, AR, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, DRD1, DRD3, DRD4, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABRG2, GMNN, HAP1, HDAC6, HIF1A, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR6, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MAPK8, MAPK9, MC3R, MC5R, MMP1, MMP9, NFE2L2, NOS1, NR3C1, OPRK1, PGR, PRKACA, PRKCA, PTAFR, RAB9A, SIGMAR1, SMN1, STAT3, TACR1, TACR2, TOP1, TUBA1A, TUBA1B, TUBA4A, TUBB, TUBB2A, TUBB3, VIPR1","CT, CT;DCE_KEGG, DCE_KEGG","ChEMBL, DrugBank"
SPIRONOLACTONE,78,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, ERBB2, ESR1, ESR2, FYN, GABRG2, GCGR, GHSR, GMNN, HDAC6, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, NFE2L2, NOS1, NR3C1, NTSR1, OPRK1, PGR, POU2F1, PPARD, PPARG, PRKACA, PRKCA, PTAFR, PTH1R, RXRA, SIGMAR1, SLC22A1, SMAD3, TACR1, TACR2, THRB, VDR, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank, DrugCentral"
STAVUDINE,78,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABBR1, GABRG2, GCGR, GHSR, GMNN, HAP1, HDAC6, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, NFE2L2, NOS1, NR3C1, NTSR1, OPRK1, PGR, PLK1, PRKACA, PRKCA, PTAFR, SIGMAR1, SMAD3, TACR1, TACR2, THRB, TK1, VIPR1","CT, DCE_KEGG",ChEMBL
SULINDAC,78,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, APP, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GCGR, GHSR, GMNN, HDAC6, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTT, INSR, LCK, LMNA, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MEN1, MMP1, MMP2, MMP9, NOS1, NR3C1, NTSR1, OPRK1, PGR, PLK1, PPARD, PPARG, PRKACA, PRKCA, PTAFR, RXRA, SIGMAR1, SLC22A1, TACR1, TACR2, VDR, VIPR1","CT, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb"
ASPIRIN,77,"ACE, ACHE, ADORA1, ADORA2A, ADRA1D, ADRA2B, ADRA2C, ADRB2, APP, AR, AVPR2, BDKRB1, BDKRB2, CA2, CALCR, CASP1, CCKAR, CCR2, CCR4, CCR5, CHRM1, CHRM2, CHRM4, CHRM5, CNR1, CRHR2, DRD1, DRD3, DRD4, EDNRB, EGFR, EHMT2, ERBB2, ESR1, ESR2, FYN, GABBR1, GABRG2, GC, GCGR, GHSR, HAP1, HDAC6, HRH2, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT, INSR, ITGA2B, LCK, MAPK1, MAPK14, MAPK3, MC3R, MC5R, MMP1, MMP9, NOS1, NR3C1, NTSR1, OPRK1, P2RY12, PGR, PPARG, PRKACA, PRKCA, PTAFR, SIGMAR1, SLC22A1, TACR1, TACR2, VIPR1","CT, DCE_KEGG",ChEMBL
