rank_by_AE_burden,cohort_id,drug,file,ae_score_sum_probability,n_AE_events,trial_id_used
61,NCT04809974,Fusidic_acid,result_trial_data_NCT04809974_CF_Fusidic_acid_AE_mapped.tsv,1.989065,100,trial_2
62,NCT04809974,Dinoprostone,result_trial_data_NCT04809974_CF_Dinoprostone_AE_mapped.tsv,1.989250,100,trial_2
63,NCT04809974,Citric_acid,result_trial_data_NCT04809974_CF_Citric_acid_AE_mapped.tsv,1.990131,100,trial_2
64,NCT04809974,Piperacillin,result_trial_data_NCT04809974_CF_Piperacillin_AE_mapped.tsv,1.992064,100,trial_2
65,NCT04809974,Guaifenesin,result_trial_data_NCT04809974_CF_Guaifenesin_AE_mapped.tsv,1.993786,100,trial_2
66,NCT04809974,Cefuroxime,result_trial_data_NCT04809974_CF_Cefuroxime_AE_mapped.tsv,2.002311,100,trial_2
67,NCT04809974,Balsalazide,result_trial_data_NCT04809974_CF_Balsalazide_AE_mapped.tsv,2.008887,100,trial_2
68,NCT04809974,Mometasone_furoate,result_trial_data_NCT04809974_CF_Mometasone_furoate_AE_mapped.tsv,2.014520,100,trial_2
69,NCT04809974,Tannic_acid,result_trial_data_NCT04809974_CF_Tannic_acid_AE_mapped.tsv,2.015788,100,trial_2
70,NCT04809974,Dobutamine,result_trial_data_NCT04809974_CF_Dobutamine_AE_mapped.tsv,2.022048,100,trial_2
71,NCT04809974,Cyclopentolate,result_trial_data_NCT04809974_CF_Cyclopentolate_AE_mapped.tsv,2.023110,100,trial_2
72,NCT04809974,Progesterone,result_trial_data_NCT04809974_CF_Progesterone_AE_mapped.tsv,2.024254,100,trial_2
73,NCT04809974,Fluticasone_propiona,result_trial_data_NCT04809974_CF_Fluticasone_propiona_AE_mapped.tsv,2.024919,100,trial_2
74,NCT04809974,Carteolol,result_trial_data_NCT04809974_CF_Carteolol_AE_mapped.tsv,2.033419,100,trial_2
75,NCT04809974,Tazarotene,result_trial_data_NCT04809974_CF_Tazarotene_AE_mapped.tsv,2.056355,100,trial_2
76,NCT04809974,Nadolol,result_trial_data_NCT04809974_CF_Nadolol_AE_mapped.tsv,2.063961,100,trial_2
77,NCT04809974,Flucloxacillin,result_trial_data_NCT04809974_CF_Flucloxacillin_AE_mapped.tsv,2.083469,100,trial_2
78,NCT04809974,Phenylephrine,result_trial_data_NCT04809974_CF_Phenylephrine_AE_mapped.tsv,2.084124,100,trial_2
79,NCT04809974,Methyl_aminolevulina,result_trial_data_NCT04809974_CF_Methyl_aminolevulina_AE_mapped.tsv,2.085118,100,trial_2
80,NCT04809974,Diclofenac,result_trial_data_NCT04809974_CF_Diclofenac_AE_mapped.tsv,2.090659,100,trial_2
81,NCT04809974,Glucosamine,result_trial_data_NCT04809974_CF_Glucosamine_AE_mapped.tsv,2.094675,100,trial_2
82,NCT04809974,Meperidine,result_trial_data_NCT04809974_CF_Meperidine_AE_mapped.tsv,2.094701,100,trial_2
83,NCT04809974,Acetaminophen,result_trial_data_NCT04809974_CF_Acetaminophen_AE_mapped.tsv,2.095656,100,trial_2
84,NCT04809974,Glimepiride,result_trial_data_NCT04809974_CF_Glimepiride_AE_mapped.tsv,2.097054,100,trial_2
85,NCT04809974,Ibuprofen,result_trial_data_NCT04809974_CF_Ibuprofen_AE_mapped.tsv,2.097104,100,trial_2
86,NCT04809974,Ketamine,result_trial_data_NCT04809974_CF_Ketamine_AE_mapped.tsv,2.103033,100,trial_2
87,NCT04809974,Bisacodyl,result_trial_data_NCT04809974_CF_Bisacodyl_AE_mapped.tsv,2.103057,100,trial_2
88,NCT04809974,Isoprenaline,result_trial_data_NCT04809974_CF_Isoprenaline_AE_mapped.tsv,2.103442,100,trial_2
89,NCT04809974,Tropicamide,result_trial_data_NCT04809974_CF_Tropicamide_AE_mapped.tsv,2.106109,100,trial_2
90,NCT04809974,Etodolac,result_trial_data_NCT04809974_CF_Etodolac_AE_mapped.tsv,2.129513,100,trial_2
91,NCT04809974,Nalbuphine,result_trial_data_NCT04809974_CF_Nalbuphine_AE_mapped.tsv,2.131774,100,trial_2
92,NCT04809974,Dapsone,result_trial_data_NCT04809974_CF_Dapsone_AE_mapped.tsv,2.135975,100,trial_2
93,NCT04809974,Metformin,result_trial_data_NCT04809974_CF_Metformin_AE_mapped.tsv,2.137098,100,trial_2
94,NCT04809974,Clindamycin,result_trial_data_NCT04809974_CF_Clindamycin_AE_mapped.tsv,2.140946,100,trial_2
95,NCT04809974,Vitamin_A,result_trial_data_NCT04809974_CF_Vitamin_A_AE_mapped.tsv,2.148221,100,trial_2
96,NCT04809974,Atracurium,result_trial_data_NCT04809974_CF_Atracurium_AE_mapped.tsv,2.161092,100,trial_2
97,NCT04809974,Isosorbide_dinitrate,result_trial_data_NCT04809974_CF_Isosorbide_dinitrate_AE_mapped.tsv,2.170559,100,trial_2
98,NCT04809974,Cholecalciferol,result_trial_data_NCT04809974_CF_Cholecalciferol_AE_mapped.tsv,2.173045,100,trial_2
99,NCT04809974,Amoxicillin,result_trial_data_NCT04809974_CF_Amoxicillin_AE_mapped.tsv,2.173799,100,trial_2
100,NCT04809974,Hexaminolevulinate,result_trial_data_NCT04809974_CF_Hexaminolevulinate_AE_mapped.tsv,2.185929,100,trial_2
101,NCT04809974,Scopolamine,result_trial_data_NCT04809974_CF_Scopolamine_AE_mapped.tsv,2.187983,100,trial_2
102,NCT04809974,Terazosin,result_trial_data_NCT04809974_CF_Terazosin_AE_mapped.tsv,2.188400,100,trial_2
103,NCT04809974,Sulbactam,result_trial_data_NCT04809974_CF_Sulbactam_AE_mapped.tsv,2.189718,100,trial_2
104,NCT04809974,Prednisolone_acetate,result_trial_data_NCT04809974_CF_Prednisolone_acetate_AE_mapped.tsv,2.195756,100,trial_2
105,NCT04809974,Metronidazole,result_trial_data_NCT04809974_CF_Metronidazole_AE_mapped.tsv,2.210492,100,trial_2
106,NCT04809974,Zinc,result_trial_data_NCT04809974_CF_Zinc_AE_mapped.tsv,2.214471,100,trial_2
107,NCT04809974,Chloroxylenol,result_trial_data_NCT04809974_CF_Chloroxylenol_AE_mapped.tsv,2.215567,100,trial_2
108,NCT04809974,Pindolol,result_trial_data_NCT04809974_CF_Pindolol_AE_mapped.tsv,2.220529,100,trial_2
109,NCT04809974,Calcipotriol,result_trial_data_NCT04809974_CF_Calcipotriol_AE_mapped.tsv,2.229006,100,trial_2
110,NCT04809974,Permethrin,result_trial_data_NCT04809974_CF_Permethrin_AE_mapped.tsv,2.231631,100,trial_2
111,NCT04809974,Nifedipine,result_trial_data_NCT04809974_CF_Nifedipine_AE_mapped.tsv,2.238181,100,trial_2
112,NCT04809974,Pyridoxine,result_trial_data_NCT04809974_CF_Pyridoxine_AE_mapped.tsv,2.240995,100,trial_2
113,NCT04809974,Mecamylamine,result_trial_data_NCT04809974_CF_Mecamylamine_AE_mapped.tsv,2.243240,100,trial_2
114,NCT04809974,Levobunolol,result_trial_data_NCT04809974_CF_Levobunolol_AE_mapped.tsv,2.246911,100,trial_2
115,NCT04809974,Chlorzoxazone,result_trial_data_NCT04809974_CF_Chlorzoxazone_AE_mapped.tsv,2.250797,100,trial_2
116,NCT04809974,Alendronic_acid,result_trial_data_NCT04809974_CF_Alendronic_acid_AE_mapped.tsv,2.252050,100,trial_2
117,NCT04809974,Ketoprofen,result_trial_data_NCT04809974_CF_Ketoprofen_AE_mapped.tsv,2.252990,100,trial_2
118,NCT04809974,Verapamil,result_trial_data_NCT04809974_CF_Verapamil_AE_mapped.tsv,2.262833,100,trial_2
119,NCT04809974,Pilocarpine,result_trial_data_NCT04809974_CF_Pilocarpine_AE_mapped.tsv,2.274099,100,trial_2
120,NCT04809974,Tibolone,result_trial_data_NCT04809974_CF_Tibolone_AE_mapped.tsv,2.275034,100,trial_2
121,NCT04809974,Tetracycline,result_trial_data_NCT04809974_CF_Tetracycline_AE_mapped.tsv,2.277213,100,trial_2
122,NCT04809974,Pyrithione,result_trial_data_NCT04809974_CF_Pyrithione_AE_mapped.tsv,2.278762,100,trial_2
123,NCT04809974,Folic_acid,result_trial_data_NCT04809974_CF_Folic_acid_AE_mapped.tsv,2.279119,100,trial_2
124,NCT04809974,Dorzolamide,result_trial_data_NCT04809974_CF_Dorzolamide_AE_mapped.tsv,2.281453,100,trial_2
125,NCT04809974,Vecuronium,result_trial_data_NCT04809974_CF_Vecuronium_AE_mapped.tsv,2.283322,100,trial_2
126,NCT04809974,Latanoprost,result_trial_data_NCT04809974_CF_Latanoprost_AE_mapped.tsv,2.284280,100,trial_2
127,NCT04809974,Orphenadrine,result_trial_data_NCT04809974_CF_Orphenadrine_AE_mapped.tsv,2.285225,100,trial_2
128,NCT04809974,Ofloxacin,result_trial_data_NCT04809974_CF_Ofloxacin_AE_mapped.tsv,2.286454,100,trial_2
129,NCT04809974,Glyburide,result_trial_data_NCT04809974_CF_Glyburide_AE_mapped.tsv,2.295620,100,trial_2
130,NCT04809974,Cystine,result_trial_data_NCT04809974_CF_Cystine_AE_mapped.tsv,2.298147,100,trial_2
131,NCT04809974,Propranolol,result_trial_data_NCT04809974_CF_Propranolol_AE_mapped.tsv,2.299084,100,trial_2
132,NCT04809974,Cetirizine,result_trial_data_NCT04809974_CF_Cetirizine_AE_mapped.tsv,2.299827,100,trial_2
133,NCT04809974,Lactulose,result_trial_data_NCT04809974_CF_Lactulose_AE_mapped.tsv,2.301121,100,trial_2
134,NCT04809974,Sulfamethoxazole,result_trial_data_NCT04809974_CF_Sulfamethoxazole_AE_mapped.tsv,2.301498,100,trial_2
135,NCT04809974,Liothyronine,result_trial_data_NCT04809974_CF_Liothyronine_AE_mapped.tsv,2.306635,100,trial_2
136,NCT04809974,Ergocalciferol,result_trial_data_NCT04809974_CF_Ergocalciferol_AE_mapped.tsv,2.307060,100,trial_2
137,NCT04809974,Pseudoephedrine,result_trial_data_NCT04809974_CF_Pseudoephedrine_AE_mapped.tsv,2.311923,100,trial_2
138,NCT04809974,Chlorobutanol,result_trial_data_NCT04809974_CF_Chlorobutanol_AE_mapped.tsv,2.315330,100,trial_2
139,NCT04809974,Piroxicam,result_trial_data_NCT04809974_CF_Piroxicam_AE_mapped.tsv,2.317976,100,trial_2
140,NCT04809974,Histamine,result_trial_data_NCT04809974_CF_Histamine_AE_mapped.tsv,2.320444,100,trial_2
141,NCT04809974,Tafluprost,result_trial_data_NCT04809974_CF_Tafluprost_AE_mapped.tsv,2.331239,100,trial_2
142,NCT04809974,Dimenhydrinate,result_trial_data_NCT04809974_CF_Dimenhydrinate_AE_mapped.tsv,2.331524,100,trial_2
143,NCT04809974,Terbutaline,result_trial_data_NCT04809974_CF_Terbutaline_AE_mapped.tsv,2.332915,100,trial_2
144,NCT04809974,Procaine,result_trial_data_NCT04809974_CF_Procaine_AE_mapped.tsv,2.333545,100,trial_2
145,NCT04809974,Tetracaine,result_trial_data_NCT04809974_CF_Tetracaine_AE_mapped.tsv,2.347012,100,trial_2
146,NCT04809974,Estradiol,result_trial_data_NCT04809974_CF_Estradiol_AE_mapped.tsv,2.357896,100,trial_2
147,NCT04809974,Glycine,result_trial_data_NCT04809974_CF_Glycine_AE_mapped.tsv,2.364773,100,trial_2
148,NCT04809974,Fluorometholone,result_trial_data_NCT04809974_CF_Fluorometholone_AE_mapped.tsv,2.365761,100,trial_2
149,NCT04809974,Budesonide,result_trial_data_NCT04809974_CF_Budesonide_AE_mapped.tsv,2.368635,100,trial_2
150,NCT04809974,Butylscopolamine,result_trial_data_NCT04809974_CF_Butylscopolamine_AE_mapped.tsv,2.373206,100,trial_2
151,NCT04809974,Isoniazid,result_trial_data_NCT04809974_CF_Isoniazid_AE_mapped.tsv,2.377318,100,trial_2
152,NCT04809974,Ascorbic_acid,result_trial_data_NCT04809974_CF_Ascorbic_acid_AE_mapped.tsv,2.389449,100,trial_2
153,NCT04809974,Promethazine,result_trial_data_NCT04809974_CF_Promethazine_AE_mapped.tsv,2.392557,100,trial_2
154,NCT04809974,Sorbitol,result_trial_data_NCT04809974_CF_Sorbitol_AE_mapped.tsv,2.400081,100,trial_2
155,NCT04809974,Riboflavin,result_trial_data_NCT04809974_CF_Riboflavin_AE_mapped.tsv,2.404574,100,trial_2
156,NCT04809974,Aminosalicylic_acid,result_trial_data_NCT04809974_CF_Aminosalicylic_acid_AE_mapped.tsv,2.404778,100,trial_2
157,NCT04809974,Risedronic_acid,result_trial_data_NCT04809974_CF_Risedronic_acid_AE_mapped.tsv,2.404948,100,trial_2
158,NCT04809974,Betamethasone,result_trial_data_NCT04809974_CF_Betamethasone_AE_mapped.tsv,2.407189,100,trial_2
159,NCT04809974,Clomifene,result_trial_data_NCT04809974_CF_Clomifene_AE_mapped.tsv,2.412244,100,trial_2
160,NCT04809974,Acetylsalicylic_acid,result_trial_data_NCT04809974_CF_Acetylsalicylic_acid_AE_mapped.tsv,2.415039,100,trial_2
161,NCT04809974,Beclomethasone_dipro,result_trial_data_NCT04809974_CF_Beclomethasone_dipro_AE_mapped.tsv,2.417422,100,trial_2
162,NCT04809974,Hydroxocobalamin,result_trial_data_NCT04809974_CF_Hydroxocobalamin_AE_mapped.tsv,2.418734,100,trial_2
163,NCT04809974,Alprazolam,result_trial_data_NCT04809974_CF_Alprazolam_AE_mapped.tsv,2.423221,100,trial_2
164,NCT04809974,Physostigmine,result_trial_data_NCT04809974_CF_Physostigmine_AE_mapped.tsv,2.428020,100,trial_2
165,NCT04809974,Raloxifene,result_trial_data_NCT04809974_CF_Raloxifene_AE_mapped.tsv,2.432841,100,trial_2
166,NCT04809974,Propylthiouracil,result_trial_data_NCT04809974_CF_Propylthiouracil_AE_mapped.tsv,2.439971,100,trial_2
167,NCT04809974,Gramicidin_D,result_trial_data_NCT04809974_CF_Gramicidin_D_AE_mapped.tsv,2.441907,100,trial_2
168,NCT04809974,Levothyroxine,result_trial_data_NCT04809974_CF_Levothyroxine_AE_mapped.tsv,2.444786,100,trial_2
169,NCT04809974,Pramocaine,result_trial_data_NCT04809974_CF_Pramocaine_AE_mapped.tsv,2.451744,100,trial_2
170,NCT04809974,ATP,result_trial_data_NCT04809974_CF_ATP_AE_mapped.tsv,2.459222,100,trial_2
171,NCT04809974,Terconazole,result_trial_data_NCT04809974_CF_Terconazole_AE_mapped.tsv,2.464637,100,trial_2
172,NCT04809974,Metamizole,result_trial_data_NCT04809974_CF_Metamizole_AE_mapped.tsv,2.465869,100,trial_2
173,NCT04809974,Colistin,result_trial_data_NCT04809974_CF_Colistin_AE_mapped.tsv,2.469624,100,trial_2
174,NCT04809974,Codeine,result_trial_data_NCT04809974_CF_Codeine_AE_mapped.tsv,2.472292,100,trial_2
175,NCT04809974,Atenolol,result_trial_data_NCT04809974_CF_Atenolol_AE_mapped.tsv,2.473197,100,trial_2
176,NCT04809974,Nitrofurantoin,result_trial_data_NCT04809974_CF_Nitrofurantoin_AE_mapped.tsv,2.476202,100,trial_2
177,NCT04809974,Ezetimibe,result_trial_data_NCT04809974_CF_Ezetimibe_AE_mapped.tsv,2.486313,100,trial_2
178,NCT04809974,Thiamine,result_trial_data_NCT04809974_CF_Thiamine_AE_mapped.tsv,2.490311,100,trial_2
179,NCT04809974,Emtricitabine,result_trial_data_NCT04809974_CF_Emtricitabine_AE_mapped.tsv,2.495282,100,trial_2
180,NCT04809974,Acarbose,result_trial_data_NCT04809974_CF_Acarbose_AE_mapped.tsv,2.497533,100,trial_2
181,NCT04809974,Phenytoin,result_trial_data_NCT04809974_CF_Phenytoin_AE_mapped.tsv,2.503060,100,trial_2
182,NCT04809974,Salicylic_acid,result_trial_data_NCT04809974_CF_Salicylic_acid_AE_mapped.tsv,2.503107,100,trial_2
183,NCT04809974,Phenazopyridine,result_trial_data_NCT04809974_CF_Phenazopyridine_AE_mapped.tsv,2.504268,100,trial_2
184,NCT04809974,Methionine,result_trial_data_NCT04809974_CF_Methionine_AE_mapped.tsv,2.505721,100,trial_2
185,NCT04809974,Galantamine,result_trial_data_NCT04809974_CF_Galantamine_AE_mapped.tsv,2.510568,100,trial_2
186,NCT04809974,Ioxaglic_acid,result_trial_data_NCT04809974_CF_Ioxaglic_acid_AE_mapped.tsv,2.512191,100,trial_2
187,NCT04809974,Ceftriaxone,result_trial_data_NCT04809974_CF_Ceftriaxone_AE_mapped.tsv,2.515597,100,trial_2
188,NCT04809974,Gatifloxacin,result_trial_data_NCT04809974_CF_Gatifloxacin_AE_mapped.tsv,2.516507,100,trial_2
189,NCT04809974,Rofecoxib,result_trial_data_NCT04809974_CF_Rofecoxib_AE_mapped.tsv,2.518921,100,trial_2
190,NCT04809974,Metolazone,result_trial_data_NCT04809974_CF_Metolazone_AE_mapped.tsv,2.520713,100,trial_2
191,NCT04809974,Cloxacillin,result_trial_data_NCT04809974_CF_Cloxacillin_AE_mapped.tsv,2.522581,100,trial_2
192,NCT04809974,Temazepam,result_trial_data_NCT04809974_CF_Temazepam_AE_mapped.tsv,2.528806,100,trial_2
193,NCT04809974,Imiquimod,result_trial_data_NCT04809974_CF_Imiquimod_AE_mapped.tsv,2.529875,100,trial_2
194,NCT04809974,Mannitol,result_trial_data_NCT04809974_CF_Mannitol_AE_mapped.tsv,2.531961,100,trial_2
195,NCT04809974,Ethambutol,result_trial_data_NCT04809974_CF_Ethambutol_AE_mapped.tsv,2.533003,100,trial_2
196,NCT04809974,Aminocaproic_acid,result_trial_data_NCT04809974_CF_Aminocaproic_acid_AE_mapped.tsv,2.533260,100,trial_2
197,NCT04809974,Methenamine,result_trial_data_NCT04809974_CF_Methenamine_AE_mapped.tsv,2.536242,100,trial_2
198,NCT04809974,Sulfathiazole,result_trial_data_NCT04809974_CF_Sulfathiazole_AE_mapped.tsv,2.537313,100,trial_2
199,NCT04809974,Malathion,result_trial_data_NCT04809974_CF_Malathion_AE_mapped.tsv,2.542768,100,trial_2
200,NCT04809974,Ritodrine,result_trial_data_NCT04809974_CF_Ritodrine_AE_mapped.tsv,2.545075,100,trial_2
201,NCT04809974,Methimazole,result_trial_data_NCT04809974_CF_Methimazole_AE_mapped.tsv,2.546288,100,trial_2
202,NCT04809974,Caffeine,result_trial_data_NCT04809974_CF_Caffeine_AE_mapped.tsv,2.548747,100,trial_2
203,NCT04809974,Bimatoprost,result_trial_data_NCT04809974_CF_Bimatoprost_AE_mapped.tsv,2.550131,100,trial_2
204,NCT04809974,Prazosin,result_trial_data_NCT04809974_CF_Prazosin_AE_mapped.tsv,2.557693,100,trial_2
205,NCT04809974,Fluticasone_furoate,result_trial_data_NCT04809974_CF_Fluticasone_furoate_AE_mapped.tsv,2.564033,100,trial_2
206,NCT04809974,Salsalate,result_trial_data_NCT04809974_CF_Salsalate_AE_mapped.tsv,2.566501,100,trial_2
207,NCT04809974,Nicotinamide,result_trial_data_NCT04809974_CF_Nicotinamide_AE_mapped.tsv,2.571635,100,trial_2
208,NCT04809974,Yohimbine,result_trial_data_NCT04809974_CF_Yohimbine_AE_mapped.tsv,2.579351,100,trial_2
209,NCT04809974,Estradiol_valerate,result_trial_data_NCT04809974_CF_Estradiol_valerate_AE_mapped.tsv,2.582503,100,trial_2
210,NCT04809974,Benzatropine,result_trial_data_NCT04809974_CF_Benzatropine_AE_mapped.tsv,2.582866,100,trial_2
211,NCT04809974,Oxymetazoline,result_trial_data_NCT04809974_CF_Oxymetazoline_AE_mapped.tsv,2.583701,100,trial_2
212,NCT04809974,Donepezil,result_trial_data_NCT04809974_CF_Donepezil_AE_mapped.tsv,2.585118,100,trial_2
213,NCT04809974,Levonorgestrel,result_trial_data_NCT04809974_CF_Levonorgestrel_AE_mapped.tsv,2.589085,100,trial_2
214,NCT04809974,Norethisterone,result_trial_data_NCT04809974_CF_Norethisterone_AE_mapped.tsv,2.593781,100,trial_2
215,NCT04809974,Polyethylene_glycol,result_trial_data_NCT04809974_CF_Polyethylene_glycol_AE_mapped.tsv,2.593842,100,trial_2
216,NCT04809974,Pyridostigmine,result_trial_data_NCT04809974_CF_Pyridostigmine_AE_mapped.tsv,2.595127,100,trial_2
