rank,drug,file,P_drug_gt_placebo,P_placebo_gt_drug
66,Danazol,result_trial_data_NCT04809974_CF_Danazol.json,0.525978,0.474022
67,Deoxycholic_acid,result_trial_data_NCT04809974_CF_Deoxycholic_acid.json,0.525967,0.474033
68,Rifapentine,result_trial_data_NCT04809974_CF_Rifapentine.json,0.525885,0.474115
69,Clotrimazole,result_trial_data_NCT04809974_CF_Clotrimazole.json,0.525879,0.474121
70,Imatinib,result_trial_data_NCT04809974_CF_Imatinib.json,0.525867,0.474133
71,Isoetharine,result_trial_data_NCT04809974_CF_Isoetharine.json,0.525866,0.474134
72,Nelfinavir,result_trial_data_NCT04809974_CF_Nelfinavir.json,0.525847,0.474153
73,Oxymetazoline,result_trial_data_NCT04809974_CF_Oxymetazoline.json,0.525822,0.474178
74,Atorvastatin,result_trial_data_NCT04809974_CF_Atorvastatin.json,0.525800,0.474200
75,Vitamin_A,result_trial_data_NCT04809974_CF_Vitamin_A.json,0.525791,0.474209
76,Dasatinib,result_trial_data_NCT04809974_CF_Dasatinib.json,0.525777,0.474223
77,Ramelteon,result_trial_data_NCT04809974_CF_Ramelteon.json,0.525754,0.474246
78,Halazepam,result_trial_data_NCT04809974_CF_Halazepam.json,0.525742,0.474258
79,Sildenafil,result_trial_data_NCT04809974_CF_Sildenafil.json,0.525721,0.474279
80,Dobutamine,result_trial_data_NCT04809974_CF_Dobutamine.json,0.525713,0.474287
81,Niacin,result_trial_data_NCT04809974_CF_Niacin.json,0.525712,0.474288
82,Sirolimus,result_trial_data_NCT04809974_CF_Sirolimus.json,0.525680,0.474320
83,Efavirenz,result_trial_data_NCT04809974_CF_Efavirenz.json,0.525677,0.474323
84,Naphazoline,result_trial_data_NCT04809974_CF_Naphazoline.json,0.525632,0.474368
85,Riociguat,result_trial_data_NCT04809974_CF_Riociguat.json,0.525617,0.474383
86,Cladribine,result_trial_data_NCT04809974_CF_Cladribine.json,0.525615,0.474385
87,Ketanserin,result_trial_data_NCT04809974_CF_Ketanserin.json,0.525608,0.474392
88,Tadalafil,result_trial_data_NCT04809974_CF_Tadalafil.json,0.525607,0.474393
89,Modafinil,result_trial_data_NCT04809974_CF_Modafinil.json,0.525530,0.474470
90,Clarithromycin,result_trial_data_NCT04809974_CF_Clarithromycin.json,0.525456,0.474544
91,Ruboxistaurin,result_trial_data_NCT04809974_CF_Ruboxistaurin.json,0.525435,0.474565
92,Vinorelbine,result_trial_data_NCT04809974_CF_Vinorelbine.json,0.525412,0.474588
93,Etravirine,result_trial_data_NCT04809974_CF_Etravirine.json,0.525412,0.474588
94,Itraconazole,result_trial_data_NCT04809974_CF_Itraconazole.json,0.525340,0.474660
95,Stiripentol,result_trial_data_NCT04809974_CF_Stiripentol.json,0.525337,0.474663
96,Debrisoquine,result_trial_data_NCT04809974_CF_Debrisoquine.json,0.525317,0.474683
97,Micafungin,result_trial_data_NCT04809974_CF_Micafungin.json,0.525311,0.474689
98,Aminohippuric_acid,result_trial_data_NCT04809974_CF_Aminohippuric_acid.json,0.525309,0.474691
99,Nilotinib,result_trial_data_NCT04809974_CF_Nilotinib.json,0.525306,0.474694
100,Cefotaxime,result_trial_data_NCT04809974_CF_Cefotaxime.json,0.525277,0.474723
101,Pranlukast,result_trial_data_NCT04809974_CF_Pranlukast.json,0.525269,0.474731
102,Tacrolimus,result_trial_data_NCT04809974_CF_Tacrolimus.json,0.525265,0.474735
103,Bromazepam,result_trial_data_NCT04809974_CF_Bromazepam.json,0.525259,0.474741
104,Dihydroergotamine,result_trial_data_NCT04809974_CF_Dihydroergotamine.json,0.525221,0.474779
105,Letrozole,result_trial_data_NCT04809974_CF_Letrozole.json,0.525185,0.474815
106,Gefitinib,result_trial_data_NCT04809974_CF_Gefitinib.json,0.525178,0.474822
107,Phenelzine,result_trial_data_NCT04809974_CF_Phenelzine.json,0.525177,0.474823
108,Ergotamine,result_trial_data_NCT04809974_CF_Ergotamine.json,0.525173,0.474827
109,Migalastat,result_trial_data_NCT04809974_CF_Migalastat.json,0.525153,0.474847
110,Prasterone,result_trial_data_NCT04809974_CF_Prasterone.json,0.525140,0.474860
111,Idelalisib,result_trial_data_NCT04809974_CF_Idelalisib.json,0.525138,0.474862
112,Voriconazole,result_trial_data_NCT04809974_CF_Voriconazole.json,0.525110,0.474890
113,Lopinavir,result_trial_data_NCT04809974_CF_Lopinavir.json,0.525100,0.474900
114,Varenicline,result_trial_data_NCT04809974_CF_Varenicline.json,0.525079,0.474921
115,Captopril,result_trial_data_NCT04809974_CF_Captopril.json,0.525046,0.474954
116,Lasofoxifene,result_trial_data_NCT04809974_CF_Lasofoxifene.json,0.525042,0.474958
117,Terbutaline,result_trial_data_NCT04809974_CF_Terbutaline.json,0.525032,0.474968
118,Aminolevulinic_acid,result_trial_data_NCT04809974_CF_Aminolevulinic_acid.json,0.524989,0.475011
119,Taurolidine,result_trial_data_NCT04809974_CF_Taurolidine.json,0.524969,0.475031
120,Latanoprostene_bunod,result_trial_data_NCT04809974_CF_Latanoprostene_bunod.json,0.524950,0.475050
121,Artemisinin,result_trial_data_NCT04809974_CF_Artemisinin.json,0.524944,0.475056
122,Pimecrolimus,result_trial_data_NCT04809974_CF_Pimecrolimus.json,0.524939,0.475061
123,Dutasteride,result_trial_data_NCT04809974_CF_Dutasteride.json,0.524935,0.475065
124,Rotigotine,result_trial_data_NCT04809974_CF_Rotigotine.json,0.524919,0.475081
125,Ceftriaxone,result_trial_data_NCT04809974_CF_Ceftriaxone.json,0.524903,0.475097
126,Dorzolamide,result_trial_data_NCT04809974_CF_Dorzolamide.json,0.524902,0.475098
127,Everolimus,result_trial_data_NCT04809974_CF_Everolimus.json,0.524896,0.475104
128,Chlordiazepoxide,result_trial_data_NCT04809974_CF_Chlordiazepoxide.json,0.524881,0.475119
129,Methylergometrine,result_trial_data_NCT04809974_CF_Methylergometrine.json,0.524879,0.475121
130,Piribedil,result_trial_data_NCT04809974_CF_Piribedil.json,0.524869,0.475131
131,Bethanidine,result_trial_data_NCT04809974_CF_Bethanidine.json,0.524866,0.475134
132,Griseofulvin,result_trial_data_NCT04809974_CF_Griseofulvin.json,0.524845,0.475155
133,Montelukast,result_trial_data_NCT04809974_CF_Montelukast.json,0.524838,0.475162
134,Sulthiame,result_trial_data_NCT04809974_CF_Sulthiame.json,0.524837,0.475163
135,Beta_carotene,result_trial_data_NCT04809974_CF_Beta_carotene.json,0.524828,0.475172
136,Methysergide,result_trial_data_NCT04809974_CF_Methysergide.json,0.524810,0.475190
137,Pralidoxime,result_trial_data_NCT04809974_CF_Pralidoxime.json,0.524799,0.475201
138,Nateglinide,result_trial_data_NCT04809974_CF_Nateglinide.json,0.524794,0.475206
139,Afatinib,result_trial_data_NCT04809974_CF_Afatinib.json,0.524786,0.475214
140,Staurosporine,result_trial_data_NCT04809974_CF_Staurosporine.json,0.524774,0.475226
141,Nortriptyline,result_trial_data_NCT04809974_CF_Nortriptyline.json,0.524771,0.475229
142,Benzylpenicilloyl_po,result_trial_data_NCT04809974_CF_Benzylpenicilloyl_po.json,0.524743,0.475257
143,Miglustat,result_trial_data_NCT04809974_CF_Miglustat.json,0.524741,0.475259
144,Ademetionine,result_trial_data_NCT04809974_CF_Ademetionine.json,0.524739,0.475261
145,Tamibarotene,result_trial_data_NCT04809974_CF_Tamibarotene.json,0.524738,0.475262
146,Ataluren,result_trial_data_NCT04809974_CF_Ataluren.json,0.524736,0.475264
147,Ribociclib,result_trial_data_NCT04809974_CF_Ribociclib.json,0.524734,0.475266
148,Xamoterol,result_trial_data_NCT04809974_CF_Xamoterol.json,0.524732,0.475268
149,Fenofibric_acid,result_trial_data_NCT04809974_CF_Fenofibric_acid.json,0.524721,0.475279
150,Lypressin,result_trial_data_NCT04809974_CF_Lypressin.json,0.524721,0.475279
151,Isoprenaline,result_trial_data_NCT04809974_CF_Isoprenaline.json,0.524713,0.475287
152,Acetylcarnitine,result_trial_data_NCT04809974_CF_Acetylcarnitine.json,0.524705,0.475295
153,Erythromycin,result_trial_data_NCT04809974_CF_Erythromycin.json,0.524705,0.475295
154,Streptozocin,result_trial_data_NCT04809974_CF_Streptozocin.json,0.524693,0.475307
155,Timolol,result_trial_data_NCT04809974_CF_Timolol.json,0.524683,0.475317
156,Paroxetine,result_trial_data_NCT04809974_CF_Paroxetine.json,0.524676,0.475324
157,Seratrodast,result_trial_data_NCT04809974_CF_Seratrodast.json,0.524674,0.475326
158,Felbamate,result_trial_data_NCT04809974_CF_Felbamate.json,0.524665,0.475335
159,Latanoprost,result_trial_data_NCT04809974_CF_Latanoprost.json,0.524664,0.475336
160,Zimelidine,result_trial_data_NCT04809974_CF_Zimelidine.json,0.524652,0.475348
161,Mizolastine,result_trial_data_NCT04809974_CF_Mizolastine.json,0.524642,0.475358
162,Osimertinib,result_trial_data_NCT04809974_CF_Osimertinib.json,0.524635,0.475365
163,Thalidomide,result_trial_data_NCT04809974_CF_Thalidomide.json,0.524621,0.475379
164,Cholic_Acid,result_trial_data_NCT04809974_CF_Cholic_Acid.json,0.524610,0.475390
165,Oxacillin,result_trial_data_NCT04809974_CF_Oxacillin.json,0.524606,0.475394
166,Estazolam,result_trial_data_NCT04809974_CF_Estazolam.json,0.524602,0.475398
167,Bromocriptine,result_trial_data_NCT04809974_CF_Bromocriptine.json,0.524593,0.475407
168,Cyproheptadine,result_trial_data_NCT04809974_CF_Cyproheptadine.json,0.524577,0.475423
169,Carbocisteine,result_trial_data_NCT04809974_CF_Carbocisteine.json,0.524572,0.475428
170,Oxytocin,result_trial_data_NCT04809974_CF_Oxytocin.json,0.524570,0.475430
171,Terfenadine,result_trial_data_NCT04809974_CF_Terfenadine.json,0.524568,0.475432
172,Isometheptene,result_trial_data_NCT04809974_CF_Isometheptene.json,0.524500,0.475500
173,Posaconazole,result_trial_data_NCT04809974_CF_Posaconazole.json,0.524496,0.475504
174,Maraviroc,result_trial_data_NCT04809974_CF_Maraviroc.json,0.524487,0.475513
175,Pilocarpine,result_trial_data_NCT04809974_CF_Pilocarpine.json,0.524484,0.475516
176,Flutamide,result_trial_data_NCT04809974_CF_Flutamide.json,0.524477,0.475523
177,Histamine,result_trial_data_NCT04809974_CF_Histamine.json,0.524466,0.475534
178,Trilostane,result_trial_data_NCT04809974_CF_Trilostane.json,0.524452,0.475548
179,Phenoxymethylpenicil,result_trial_data_NCT04809974_CF_Phenoxymethylpenicil.json,0.524441,0.475559
180,Carisoprodol,result_trial_data_NCT04809974_CF_Carisoprodol.json,0.524440,0.475560
181,Temsirolimus,result_trial_data_NCT04809974_CF_Temsirolimus.json,0.524432,0.475568
182,Vorapaxar,result_trial_data_NCT04809974_CF_Vorapaxar.json,0.524426,0.475574
183,Zopiclone,result_trial_data_NCT04809974_CF_Zopiclone.json,0.524420,0.475580
184,Pirfenidone,result_trial_data_NCT04809974_CF_Pirfenidone.json,0.524419,0.475581
185,Physostigmine,result_trial_data_NCT04809974_CF_Physostigmine.json,0.524418,0.475582
186,Molsidomine,result_trial_data_NCT04809974_CF_Molsidomine.json,0.524412,0.475588
187,Testosterone,result_trial_data_NCT04809974_CF_Testosterone.json,0.524404,0.475596
188,Selumetinib,result_trial_data_NCT04809974_CF_Selumetinib.json,0.524401,0.475599
189,Ketamine,result_trial_data_NCT04809974_CF_Ketamine.json,0.524395,0.475605
190,Citric_acid,result_trial_data_NCT04809974_CF_Citric_acid.json,0.524382,0.475618
191,Ketoconazole,result_trial_data_NCT04809974_CF_Ketoconazole.json,0.524379,0.475621
192,Rasagiline,result_trial_data_NCT04809974_CF_Rasagiline.json,0.524377,0.475623
193,Moxifloxacin,result_trial_data_NCT04809974_CF_Moxifloxacin.json,0.524353,0.475647
194,Paromomycin,result_trial_data_NCT04809974_CF_Paromomycin.json,0.524348,0.475652
195,Dimethyl_sulfoxide,result_trial_data_NCT04809974_CF_Dimethyl_sulfoxide.json,0.524342,0.475658
196,Erdosteine,result_trial_data_NCT04809974_CF_Erdosteine.json,0.524342,0.475658
197,Nafarelin,result_trial_data_NCT04809974_CF_Nafarelin.json,0.524336,0.475664
198,Eslicarbazepine_acet,result_trial_data_NCT04809974_CF_Eslicarbazepine_acet.json,0.524328,0.475672
199,Sulfathiazole,result_trial_data_NCT04809974_CF_Sulfathiazole.json,0.524322,0.475678
200,Mitoxantrone,result_trial_data_NCT04809974_CF_Mitoxantrone.json,0.524312,0.475688
201,Aminophylline,result_trial_data_NCT04809974_CF_Aminophylline.json,0.524307,0.475693
202,Flurazepam,result_trial_data_NCT04809974_CF_Flurazepam.json,0.524284,0.475716
203,Sucrose,result_trial_data_NCT04809974_CF_Sucrose.json,0.524281,0.475719
204,Oxitropium,result_trial_data_NCT04809974_CF_Oxitropium.json,0.524280,0.475720
205,Cysteine,result_trial_data_NCT04809974_CF_Cysteine.json,0.524278,0.475722
206,Copper,result_trial_data_NCT04809974_CF_Copper.json,0.524260,0.475740
207,Pargyline,result_trial_data_NCT04809974_CF_Pargyline.json,0.524260,0.475740
208,Amoxapine,result_trial_data_NCT04809974_CF_Amoxapine.json,0.524249,0.475751
209,Palbociclib,result_trial_data_NCT04809974_CF_Palbociclib.json,0.524248,0.475752
210,Medazepam,result_trial_data_NCT04809974_CF_Medazepam.json,0.524247,0.475753
211,Atazanavir,result_trial_data_NCT04809974_CF_Atazanavir.json,0.524243,0.475757
212,Teriflunomide,result_trial_data_NCT04809974_CF_Teriflunomide.json,0.524242,0.475758
213,Ramatroban,result_trial_data_NCT04809974_CF_Ramatroban.json,0.524242,0.475758
214,Amphotericin_B,result_trial_data_NCT04809974_CF_Amphotericin_B.json,0.524239,0.475761
215,Dipyridamole,result_trial_data_NCT04809974_CF_Dipyridamole.json,0.524232,0.475768
216,Caspofungin,result_trial_data_NCT04809974_CF_Caspofungin.json,0.524216,0.475784
217,Bicalutamide,result_trial_data_NCT04809974_CF_Bicalutamide.json,0.524210,0.475790
218,Cromoglicic_acid,result_trial_data_NCT04809974_CF_Cromoglicic_acid.json,0.524209,0.475791
219,Pyridoxine,result_trial_data_NCT04809974_CF_Pyridoxine.json,0.524206,0.475794
220,Quinine,result_trial_data_NCT04809974_CF_Quinine.json,0.524205,0.475795
221,Methyldopa,result_trial_data_NCT04809974_CF_Methyldopa.json,0.524196,0.475804
222,Miconazole,result_trial_data_NCT04809974_CF_Miconazole.json,0.524190,0.475810
223,Talbutal,result_trial_data_NCT04809974_CF_Talbutal.json,0.524173,0.475827
224,Chlorotrianisene,result_trial_data_NCT04809974_CF_Chlorotrianisene.json,0.524157,0.475843
225,Alprostadil,result_trial_data_NCT04809974_CF_Alprostadil.json,0.524155,0.475845
226,Olsalazine,result_trial_data_NCT04809974_CF_Olsalazine.json,0.524154,0.475846
227,Carbamoylcholine,result_trial_data_NCT04809974_CF_Carbamoylcholine.json,0.524132,0.475868
228,Raltegravir,result_trial_data_NCT04809974_CF_Raltegravir.json,0.524131,0.475869
229,Pasireotide,result_trial_data_NCT04809974_CF_Pasireotide.json,0.524129,0.475871
230,Methantheline,result_trial_data_NCT04809974_CF_Methantheline.json,0.524097,0.475903
231,Fluoxetine,result_trial_data_NCT04809974_CF_Fluoxetine.json,0.524072,0.475928
232,Aminophenazone,result_trial_data_NCT04809974_CF_Aminophenazone.json,0.524061,0.475939
233,Bupropion,result_trial_data_NCT04809974_CF_Bupropion.json,0.524053,0.475947
234,Raloxifene,result_trial_data_NCT04809974_CF_Raloxifene.json,0.524044,0.475956
235,Fumaric_Acid,result_trial_data_NCT04809974_CF_Fumaric_Acid.json,0.524038,0.475962
236,Oxiconazole,result_trial_data_NCT04809974_CF_Oxiconazole.json,0.524033,0.475967
237,Bethanechol,result_trial_data_NCT04809974_CF_Bethanechol.json,0.524029,0.475971
238,Dichloroacetic_acid,result_trial_data_NCT04809974_CF_Dichloroacetic_acid.json,0.524025,0.475975
239,Naftifine,result_trial_data_NCT04809974_CF_Naftifine.json,0.524021,0.475979
240,Rizatriptan,result_trial_data_NCT04809974_CF_Rizatriptan.json,0.524005,0.475995
241,Phenethyl_Isothiocya,result_trial_data_NCT04809974_CF_Phenethyl_Isothiocya.json,0.523999,0.476001
242,Lormetazepam,result_trial_data_NCT04809974_CF_Lormetazepam.json,0.523996,0.476004
243,Ipragliflozin,result_trial_data_NCT04809974_CF_Ipragliflozin.json,0.523985,0.476015
244,Abiraterone,result_trial_data_NCT04809974_CF_Abiraterone.json,0.523980,0.476020
245,Midazolam,result_trial_data_NCT04809974_CF_Midazolam.json,0.523967,0.476033
246,Pipamperone,result_trial_data_NCT04809974_CF_Pipamperone.json,0.523967,0.476033
247,Lisuride,result_trial_data_NCT04809974_CF_Lisuride.json,0.523964,0.476036
248,Sulfinpyrazone,result_trial_data_NCT04809974_CF_Sulfinpyrazone.json,0.523954,0.476046
249,Trimetazidine,result_trial_data_NCT04809974_CF_Trimetazidine.json,0.523936,0.476064
250,Dihydroergocristine,result_trial_data_NCT04809974_CF_Dihydroergocristine.json,0.523933,0.476067
251,Warfarin,result_trial_data_NCT04809974_CF_Warfarin.json,0.523911,0.476089
252,Vecuronium,result_trial_data_NCT04809974_CF_Vecuronium.json,0.523909,0.476091
253,Dextropropoxyphene,result_trial_data_NCT04809974_CF_Dextropropoxyphene.json,0.523908,0.476092
254,Propranolol,result_trial_data_NCT04809974_CF_Propranolol.json,0.523908,0.476092
255,Degarelix,result_trial_data_NCT04809974_CF_Degarelix.json,0.523899,0.476101
256,Maprotiline,result_trial_data_NCT04809974_CF_Maprotiline.json,0.523897,0.476103
257,Droxidopa,result_trial_data_NCT04809974_CF_Droxidopa.json,0.523893,0.476107
258,Biotin,result_trial_data_NCT04809974_CF_Biotin.json,0.523885,0.476115
259,Delavirdine,result_trial_data_NCT04809974_CF_Delavirdine.json,0.523871,0.476129
260,Ifosfamide,result_trial_data_NCT04809974_CF_Ifosfamide.json,0.523851,0.476149
261,Amineptine,result_trial_data_NCT04809974_CF_Amineptine.json,0.523848,0.476152
262,Triclocarban,result_trial_data_NCT04809974_CF_Triclocarban.json,0.523835,0.476165
263,Triethylenetetramine,result_trial_data_NCT04809974_CF_Triethylenetetramine.json,0.523831,0.476169
264,Procarbazine,result_trial_data_NCT04809974_CF_Procarbazine.json,0.523826,0.476174
265,Rifabutin,result_trial_data_NCT04809974_CF_Rifabutin.json,0.523826,0.476174
266,Tolrestat,result_trial_data_NCT04809974_CF_Tolrestat.json,0.523822,0.476178
267,Rifampicin,result_trial_data_NCT04809974_CF_Rifampicin.json,0.523818,0.476182
268,Ibrutinib,result_trial_data_NCT04809974_CF_Ibrutinib.json,0.523814,0.476186
269,Mefloquine,result_trial_data_NCT04809974_CF_Mefloquine.json,0.523811,0.476189
270,Abacavir,result_trial_data_NCT04809974_CF_Abacavir.json,0.523811,0.476189
271,Edaravone,result_trial_data_NCT04809974_CF_Edaravone.json,0.523807,0.476193
272,Sertindole,result_trial_data_NCT04809974_CF_Sertindole.json,0.523802,0.476198
273,Nitrazepam,result_trial_data_NCT04809974_CF_Nitrazepam.json,0.523789,0.476211
274,Amiloride,result_trial_data_NCT04809974_CF_Amiloride.json,0.523788,0.476212
275,Pentostatin,result_trial_data_NCT04809974_CF_Pentostatin.json,0.523786,0.476214
276,Natamycin,result_trial_data_NCT04809974_CF_Natamycin.json,0.523777,0.476223
277,Anagrelide,result_trial_data_NCT04809974_CF_Anagrelide.json,0.523776,0.476224
278,Selenomethionine,result_trial_data_NCT04809974_CF_Selenomethionine.json,0.523770,0.476230
279,Fingolimod,result_trial_data_NCT04809974_CF_Fingolimod.json,0.523769,0.476231
280,Valproic_acid,result_trial_data_NCT04809974_CF_Valproic_acid.json,0.523768,0.476232
281,Fenoldopam,result_trial_data_NCT04809974_CF_Fenoldopam.json,0.523766,0.476234
282,Temazepam,result_trial_data_NCT04809974_CF_Temazepam.json,0.523752,0.476248
283,Nialamide,result_trial_data_NCT04809974_CF_Nialamide.json,0.523752,0.476248
284,Chlorpromazine,result_trial_data_NCT04809974_CF_Chlorpromazine.json,0.523750,0.476250
285,Tolcapone,result_trial_data_NCT04809974_CF_Tolcapone.json,0.523749,0.476251
286,Agomelatine,result_trial_data_NCT04809974_CF_Agomelatine.json,0.523747,0.476253
287,Arformoterol,result_trial_data_NCT04809974_CF_Arformoterol.json,0.523743,0.476257
288,Haloperidol,result_trial_data_NCT04809974_CF_Haloperidol.json,0.523739,0.476261
289,Phenylephrine,result_trial_data_NCT04809974_CF_Phenylephrine.json,0.523733,0.476267
290,Noscapine,result_trial_data_NCT04809974_CF_Noscapine.json,0.523729,0.476271
291,Methoxamine,result_trial_data_NCT04809974_CF_Methoxamine.json,0.523728,0.476272
292,Rufinamide,result_trial_data_NCT04809974_CF_Rufinamide.json,0.523727,0.476273
293,Erlotinib,result_trial_data_NCT04809974_CF_Erlotinib.json,0.523710,0.476290
294,Clozapine,result_trial_data_NCT04809974_CF_Clozapine.json,0.523708,0.476292
295,Dabrafenib,result_trial_data_NCT04809974_CF_Dabrafenib.json,0.523706,0.476294
296,Troleandomycin,result_trial_data_NCT04809974_CF_Troleandomycin.json,0.523704,0.476296
297,Cefdinir,result_trial_data_NCT04809974_CF_Cefdinir.json,0.523703,0.476297
298,Etomidate,result_trial_data_NCT04809974_CF_Etomidate.json,0.523683,0.476317
299,Sulfadiazine,result_trial_data_NCT04809974_CF_Sulfadiazine.json,0.523682,0.476318
300,Sitaxentan,result_trial_data_NCT04809974_CF_Sitaxentan.json,0.523679,0.476321
301,Aminosalicylic_acid,result_trial_data_NCT04809974_CF_Aminosalicylic_acid.json,0.523675,0.476325
302,Indocyanine_green_ac,result_trial_data_NCT04809974_CF_Indocyanine_green_ac.json,0.523673,0.476327
303,Mianserin,result_trial_data_NCT04809974_CF_Mianserin.json,0.523657,0.476343
