drug_key,cohort_origin
tolazamide,NCT04809974
tolnaftate,NCT04809974
topiramate,NCT04809974
trichlormethiazide,NCT04809974
triethylenetetramine,NCT04809974
trimethadione,NCT04809974
trioxsalen,NCT04809974
valaciclovir,NCT04809974
valdecoxib,NCT04809974
vilanterol,NCT04809974
xanomeline,NCT04809974
ximelagatran,NCT04809974
zalcitabine,NCT04809974
zonisamide,NCT04809974
