drug_key,cohort_origin
phthalylsulfathiazol,NCT04880161
phylloquinone,NCT04880161
pimavanserin,NCT04880161
pimecrolimus,NCT04880161
piperazine,NCT04880161
piretanide,NCT04880161
piribedil,NCT04880161
pitavastatin,NCT04880161
plerixafor,NCT04880161
pramipexole,NCT04880161
prasugrel,NCT04880161
procarbazine,NCT04880161
proflavine,NCT04880161
propofol,NCT04880161
protirelin,NCT04880161
quercetin,NCT04880161
raltegravir,NCT04880161
ramelteon,NCT04880161
remoxipride,NCT04880161
riluzole,NCT04880161
rivaroxaban,NCT04880161
rizatriptan,NCT04880161
ropivacaine,NCT04880161
rosuvastatin,NCT04880161
sertaconazole,NCT04880161
simvastatin,NCT04880161
stavudine,NCT04880161
sulconazole,NCT04880161
sulfadoxine,NCT04880161
tamoxifen,NCT04880161
terbutaline,NCT04880161
teriflunomide,NCT04880161
testosterone,NCT04880161
tetracaine,NCT04880161
tetracycline,NCT04880161
thalidomide,NCT04880161
thiabendazole,NCT04880161
tibolone,NCT04880161
ticagrelor,NCT04880161
ticlopidine,NCT04880161
tigecycline,NCT04880161
tolazoline,NCT04880161
tolfenamic_acid,NCT04880161
tranexamic_acid,NCT04880161
tretinoin,NCT04880161
triclocarban,NCT04880161
tripelennamine,NCT04880161
triprolidine,NCT04880161
triptorelin,NCT04880161
troglitazone,NCT04880161
troleandomycin,NCT04880161
tyrosine,NCT04880161
valproic_acid,NCT04880161
vecuronium,NCT04880161
vernakalant,NCT04880161
vigabatrin,NCT04880161
vinblastine,NCT04880161
vincristine,NCT04880161
vinorelbine,NCT04880161
vitamin_a,NCT04880161
voriconazole,NCT04880161
vortioxetine,NCT04880161
warfarin,NCT04880161
xamoterol,NCT04880161
zinc,NCT04880161
